,BTC,ETH,SP500,NASDAQ,VIX,GOLD,DXY,US10Y
Ticker,BTC-USD,ETH-USD,^GSPC,^NDX,^VIX,GC=F,DX-Y.NYB,^TNX
Date,,,,,,,,
2015-03-22,0.030059926984876507,,,,,,,
2015-03-23,-0.004563319168047861,,,,,,,
2015-03-24,-0.08259052185326601,,-0.006158345701590925,-0.0032782669060771696,0.015538606404026779,0.0031095972006652695,0.001647654178780802,-0.019510210754544205
2015-03-25,0.0024482110178939095,,-0.014665926527239062,-0.023219522976461657,0.12542222510043294,0.0046882443814050614,-0.002163044343406044,0.02211777172997346
2015-03-26,0.009439546802021883,,-0.0023803307374738966,-0.0032460419741909457,0.02304843468536551,0.006493468269733933,0.004732022725163901,0.04431589092068333
2015-03-27,-0.006065833740133761,,0.0023657607295033602,0.004070277172402966,-0.04730395971689352,-0.004407613858515569,-0.0015406106194408428,-0.02983787288745013
2015-03-28,0.023085000457077995,,,,,,,
2015-03-29,-0.04071110245965527,,,,,,,
2015-03-30,0.01963596613450928,,,,,,,
2015-03-31,-0.013429797994592731,,-0.008834686217530795,-0.011272953146556826,0.052360934775902146,-0.0014359335417667746,0.003870813081429276,-0.014883540494609522
2015-04-01,0.012403125199171193,,-0.0039732542018475255,-0.0051892091624538075,-0.011842263882984972,0.0209107656929285,-0.0017298215079727382,-0.03472204877717506
2015-04-02,0.022920312531111483,,0.0035234523037141535,0.0011011596340563562,-0.029552156207520802,-0.005977561320432106,-0.007667573028231793,0.019088603265940265
2015-04-03,0.005191934481623315,,,,,,,
2015-04-04,-0.0024605390743548295,,,,,,,
2015-04-05,0.02683829306360957,,,,,,,
2015-04-06,-0.019787843949012902,,,,,,,
2015-04-07,-0.009090445919442811,,-0.002064032708587167,-0.0015870859420329688,0.0027100262199033945,-0.006586554489201088,0.007386934294617252,-0.005794083655909038
2015-04-08,-0.03275265389486289,,0.0026789415573472003,0.007311898730901181,-0.055647193391672574,-0.006214545543826507,0.002450209106376541,0.0010559527155100115
2015-04-09,-0.00550856238328955,,0.004447575873625805,0.006375994446740204,-0.06577911248284372,-0.007927608751493799,0.011053237805892893,0.03270468738929199
